SIZE,AVG_HEIGHT,INSERT_RUNTIME,DESTROY_RUNTIME
16,7,2,1
1016,28,88,28
2016,41,216,54
3016,53,392,80
4016,65,616,106
5016,77,897,132
6016,91,1246,157
7016,99,1655,184
8016,112,2133,210
9016,123,2659,235
10016,135,3279,265
11016,147,3950,290
12016,157,4685,315
13016,168,5521,343
14016,180,6403,369
15016,191,7340,396
16016,201,8353,421
17016,214,9451,447
18016,224,10677,479
19016,234,12026,518
20016,245,13537,541
21016,255,15172,572
22016,267,16907,606
23016,278,18750,647
24016,290,20750,663
25016,299,22967,696
26016,309,25396,730
27016,319,27784,765
28016,331,30395,799
29016,343,33022,827
30016,351,35931,852
31016,361,39085,886
32016,374,42132,919
33016,385,45749,963
34016,394,49442,985
35016,406,53373,1031
36016,414,57485,1058
37016,430,61959,1077
38016,440,66440,1103
39016,448,71172,1146
40016,458,76091,1165
41016,468,81145,1221
42016,478,86445,1237
43016,491,92012,1273
44016,501,97766,1305
45016,513,103594,1350
46016,522,109692,1369
47016,532,116002,1405
48016,543,122588,1431
49016,556,129435,1488
50016,565,136275,1495
51016,573,143295,1527
52016,587,150905,1550
53016,597,158350,1602
54016,605,166142,1635
55016,618,173989,1653
56016,628,182235,1706
57016,636,190637,1709
58016,648,198998,1759
59016,663,207975,1783
60016,669,216763,1810
61016,681,226038,1855
62016,694,235392,1867
63016,702,244904,1922
64016,713,254741,1948
65016,722,264771,1966
66016,735,274917,1996
67016,743,285322,2032
68016,755,295848,2070
69016,764,306679,2108
70016,777,317536,2123
71016,785,328735,2184
72016,796,340236,2193
73016,807,351784,2213
74016,818,363728,2257
75016,828,375844,2286
76016,838,387888,2317
77016,849,400414,2368
78016,857,412998,2377
79016,869,425993,2439
80016,880,438987,2469
81016,891,452611,2491
82016,900,466090,2529
83016,912,480071,2536
84016,923,494509,2572
85016,928,507580,2632
86016,944,521529,2618
87016,952,536227,2657
88016,964,550740,2716
89016,969,565674,2724
90016,981,580864,2757
91016,995,595790,2767
92016,1007,611173,2815
93016,1016,627257,2857
94016,1024,643161,2881
95016,1039,659159,2922
96016,1045,675496,2935
97016,1059,692199,3009
98016,1066,708645,3021
99016,1078,725712,3041
