SIZE,AVG_HEIGHT,INSERT_RUNTIME,DESTROY_RUNTIME
16,6,5,1
144,14,43,12
272,17,78,21
400,20,119,33
528,21,180,49
656,24,183,51
784,25,215,57
912,26,222,57
1040,28,249,66
1168,31,294,76
1296,32,320,79
1424,34,367,90
1552,36,409,95
1680,38,431,101
1808,38,491,119
1936,40,521,129
2064,42,570,135
2192,44,656,151
2320,45,676,150
2448,47,721,160
2576,47,733,161
2704,49,801,173
2832,51,854,178
2960,53,895,186
3088,54,951,187
3216,56,1006,200
3344,57,1069,205
3472,60,1112,212
3600,62,1173,218
3728,62,1317,235
3856,64,1404,253
3984,66,1406,243
4112,68,1454,249
4240,68,1524,248
4368,70,1578,259
4496,72,1672,268
4624,72,1758,274
4752,75,1837,284
4880,76,1943,295
5008,79,1972,296
5136,81,2087,300
5264,80,2216,315
5392,82,2336,327
5520,84,2344,333
5648,86,2450,330
5776,85,2549,335
5904,88,2751,369
6032,88,2766,379
6160,91,2894,389
6288,92,3118,416
6416,95,3131,386
6544,95,3230,398
6672,98,3283,398
6800,98,3468,423
6928,100,3517,414
7056,101,3705,427
7184,103,3785,434
7312,103,3923,443
7440,105,4184,470
7568,108,4169,450
7696,108,4477,475
7824,108,4444,470
7952,110,4567,471
8080,113,4724,479
8208,113,4829,484
8336,115,4977,479
8464,116,5181,496
8592,118,5386,507
8720,121,5808,561
8848,122,5573,516
8976,123,5905,536
9104,124,6058,540
9232,125,6207,548
9360,128,6382,542
9488,127,6639,551
9616,131,6654,554
9744,132,6899,566
9872,134,7102,582
10000,134,7454,581
10128,136,7479,598
10256,138,8368,668
10384,139,7885,607
10512,140,8288,616
10640,141,8287,614
10768,144,8504,618
10896,144,8737,632
11024,146,9052,635
11152,147,9406,660
11280,148,9349,663
11408,150,9755,670
11536,152,9813,661
11664,153,10260,691
11792,155,10427,678
11920,156,10448,685
12048,158,10826,698
12176,159,11007,702
12304,161,11589,738
12432,162,11500,712
12560,163,11813,730
12688,165,12024,720
12816,166,12305,748
12944,168,12804,749
13072,168,13136,757
13200,171,13368,769
